id,code,name,mileage_m,speed_limit_to_next_kmh,dwell_s
1,GGZ,郭公庄,313.000,80,30
2,FSP,丰台科技园,1660.520,80,30
3,KYL,科怡路,2448.610,80,30
4,FTN,丰台南路,3429.320,80,30
5,FTD,丰台东大街,5014.460,80,30
6,QLZ,七里庄,6339.900,80,30
7,LLQ,六里桥,8118.830,80,30
8,LLE,六里桥东,9429.160,80,30
9,BWR,北京西站,10598.740,80,30
10,JBG,军事博物馆,11996.970,80,30
11,BDZ,白堆子,13906.770,80,30
12,BQS,白石桥南,14954.010,80,30
13,GTG,国家图书馆,16048.920,0,0
